-- Logs begin at Tue 2022-08-09 12:34:44 UTC, end at Tue 2022-08-09 14:05:56 UTC. --
Aug 09 13:49:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 09 13:49:50 ubuntu dstat.sh[491]: [286B blob data]
Aug 09 13:49:50 ubuntu dstat.sh[491]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Aug 09 13:53:35 ubuntu dstat.sh[491]: 09-08 13:53:35| 22   4  74   0   0| 830M 1285M  154M 5490M|9698B 1620B|   0    48k|   0  5.00 | 823   959 |0.97 1.07 0.89|1.0   0   0|   0     0 |openstack            12094 23%9079k   0 |openstack            120949079k   0  23%|mysqld       206M|   0     0 |  14   29    0  309    0
Aug 09 13:53:36 ubuntu dstat.sh[491]: 09-08 13:53:36| 22   4  74   0   0| 815M 1300M  154M 5490M|  10k 1620B|   0     0 |   0     0 |1027  1500 |0.97 1.07 0.89|2.0   0  51|   0     0 |openstack            12145 17%7658k   0 |bash                 12051  11M2292B  0%|mysqld       206M|   0     0 |  14   29    0  312    0
Aug 09 13:53:37 ubuntu dstat.sh[491]: 09-08 13:53:37| 22   5  73   0   0| 793M 1322M  154M 5490M|7543B 1620B|   0   104k|   0  13.0 |1237  1900 |0.97 1.07 0.89|1.0   0  83|   0     0 |openstack            122283.2%1928k   0 |bash                 2692   22M5728B0.2%|mysqld       206M|   0     0 |  14   29    0  301    0
Aug 09 13:53:38 ubuntu dstat.sh[491]: 09-08 13:53:38| 24   3  73   0   0| 830M 1284M  154M 5490M|7392B 1620B|   0   316k|   0  14.0 | 776   913 |0.97 1.07 0.89|1.0   0   0|   0     0 |openstack            12228 24%9082k   0 |openstack            122289082k   0  24%|mysqld       206M|   0     0 |  14   31    0  303    0
Aug 09 13:53:39 ubuntu dstat.sh[491]: 09-08 13:53:39| 21   6  73   0   0| 807M 1307M  154M 5490M|5258B 1458B|   0     0 |   0     0 |1085  1889 |0.97 1.06 0.89|1.0   0  64|   0     0 |openstack            12292 13%5576k   0 |bash                 12172  11M2914B  0%|mysqld       206M|   0     0 |  14   29    0  295    0
Aug 09 13:53:40 ubuntu dstat.sh[491]: 09-08 13:53:40| 23   4  73   0   0| 780M 1334M  154M 5491M|5497B 1620B|   0    44k|   0  3.00 |1113  1752 |0.97 1.06 0.89|1.0   0  34|   0     0 |uwsgi                2736 2.2%4769B  15k|bash                 2692   22M7987B0.2%|mysqld       206M|   0     0 |  14   29    0  302    0
Aug 09 13:53:41 ubuntu dstat.sh[491]: 09-08 13:53:41| 20   7  73   0   0| 816M 1298M  154M 5491M|6386B 1620B|   0     0 |   0     0 |1184  1831 |0.97 1.06 0.89|2.0   0 134|   0     0 |openstack            12461 18%7658k   0 |openstack            124617658k   0  18%|mysqld       206M|   0     0 |  14   29    0  287    0
Aug 09 13:53:42 ubuntu dstat.sh[491]: 09-08 13:53:42| 21   6  73   0   0| 789M 1325M  154M 5491M|6303B 1620B|   0    88k|   0  9.00 |1306  2145 |0.97 1.06 0.89|1.0   0  88|   0     0 |uwsgi                2736 3.0% 803k  15k|bash                 2692   11M4912B0.2%|mysqld       206M|   0     0 |  14   29    0  293    0
Aug 09 13:53:43 ubuntu dstat.sh[491]: 09-08 13:53:43| 24   3  73   0   0| 832M 1282M  154M 5491M|5995B 1620B|   0   252k|   0  12.0 | 737   779 |0.97 1.06 0.89|1.0   0   0|   0     0 |openstack            12549 24%9899k   0 |openstack            125499899k   0  24%|mysqld       206M|   0     0 |  14   31    0  279    0
Aug 09 13:53:44 ubuntu dstat.sh[491]: 09-08 13:53:44| 20   9  71   0   0| 804M 1310M  154M 5491M|  17k 1566B|   0   116k|   0  11.0 |1507  2578 |0.98 1.06 0.89|1.0   0 148|   0     0 |openstack            126989.5%3267k   0 |bash                 2692   11M5941B0.2%|mysqld       206M|   0     0 |  14   29    0  284    0
Aug 09 13:53:45 ubuntu dstat.sh[491]: 09-08 13:53:45| 24   3  73   0   0| 834M 1280M  154M 5491M|6935B 1620B|   0   564k|   0  21.0 | 961  1427 |0.98 1.06 0.89|1.0   0   0|   0     0 |openstack            12698 20%7739k   0 |openstack            126987739k   0  20%|mysqld       206M|   0     0 |  14   31    0  275    0
Aug 09 13:53:46 ubuntu dstat.sh[491]: 09-08 13:53:46| 24   4  72   0   0| 794M 1318M  154M 5492M|8845B 1620B|   0     0 |   0     0 |1855  2746 |0.98 1.06 0.89|1.0   0  21|   0     0 |openstack            127197.5%2043k   0 |bash                 2692   11M4243B  0%|mysqld       206M|   0     0 |  14   29    0  285    0
Aug 09 13:53:47 ubuntu dstat.sh[491]: 09-08 13:53:47| 23   4  73   0   0| 831M 1281M  154M 5492M|7740B 1674B|   0     0 |   0     0 | 887  1299 |0.98 1.06 0.89|1.0   0 2.0|   0     0 |openstack            12719 22%8955k   0 |openstack            127198955k   0  22%|mysqld       206M|   0     0 |  14   31    0  274    0
Aug 09 13:53:48 ubuntu dstat.sh[491]: 09-08 13:53:48| 24   5  72   0   0| 796M 1316M  154M 5493M|9867B 1350B|   0    44k|   0  3.00 |2042  3251 |0.98 1.06 0.89|1.0   0  71|   0     0 |openstack            127927.8%2043k   0 |bash                 2692   11M   0   0%|mysqld       206M|   0     0 |  14   29    0  284    0
Aug 09 13:53:49 ubuntu dstat.sh[491]: 09-08 13:53:49| 23   4  74   0   0| 833M 1279M  154M 5493M|7114B 1296B|   0   172k|   0  14.0 | 889  1144 |0.98 1.06 0.89|1.0   0   0|   0     0 |openstack            12792 22%8963k   0 |openstack            127928963k   0  22%|mysqld       206M|   0     0 |  14   31    0  281    0
Aug 09 13:53:50 ubuntu dstat.sh[491]: 09-08 13:53:50| 21   6  72   0   0| 785M 1326M  154M 5494M|7118B 1512B|   0     0 |   0     0 |2178  3895 |0.98 1.06 0.89|2.0   0 107|   0     0 |uwsgi                2736 6.5%7156B  25k|bash                 2692   11M  10k0.5%|mysqld       206M|   0     0 |  14   29    0  293    0
Aug 09 13:53:51 ubuntu dstat.sh[491]: 09-08 13:53:51| 22   6  72   0   0| 822M 1289M  154M 5494M|9566B 1620B|   0     0 |   0     0 | 925  1330 |0.98 1.06 0.89|1.0   0  77|   0     0 |openstack            12978 23%8217k   0 |openstack            129788217k   0  23%|mysqld       206M|   0     0 |  14   29    0  284    0
Aug 09 13:53:52 ubuntu dstat.sh[491]: 09-08 13:53:52| 24   3  73   0   0| 834M 1277M  154M 5494M|8742B 1620B|   0    60k|   0  6.00 |1678  2826 |0.98 1.06 0.89|1.0   0   0|   0     0 |openstack            12978 10%2789k   0 |openstack            129782789k   0  10%|mysqld       206M|   0     0 |  14   31    0  298    0
Aug 09 13:53:53 ubuntu dstat.sh[491]: 09-08 13:53:53| 22   4  72   1   0| 815M 1296M  154M 5494M|7492B 1620B|   0  2128k|   0   198 |1390  1304 |0.98 1.06 0.89|1.0 1.0  21|   0     0 |openstack            12999 20%7658k   0 |bash                 2692   11M4239B0.2%|mysqld       206M|   0     0 |  14   29    0  289    0
Aug 09 13:53:54 ubuntu dstat.sh[491]: 09-08 13:53:54| 24   3  72   1   0| 831M 1280M  154M 5494M|6368B 1620B|   0  2140k|   0  26.0 |1506  2391 |0.98 1.06 0.89|1.0   0   0|   0     0 |openstack            12999 12%3340k   0 |openstack            129993340k   0  12%|mysqld       206M|   0     0 |  14   31    0  300    0
Aug 09 13:53:55 ubuntu dstat.sh[491]: 09-08 13:53:55| 22   5  73   0   0| 820M 1290M  154M 5494M|  15k 1620B|   0    32k|   0  3.00 |1093  1715 |0.98 1.06 0.89|1.0   0  71|   0     0 |openstack            13070 18%7658k   0 |bash                 2692   11M   0   0%|mysqld       206M|   0     0 |  14   29    0  298    0
Aug 09 13:53:56 ubuntu dstat.sh[491]: 09-08 13:53:56| 24   3  73   0   0| 833M 1277M  154M 5494M|6230B 1620B|   0     0 |   0     0 |1439  2469 |0.98 1.06 0.89|1.0   0   0|   0     0 |openstack            13070 12%3348k   0 |openstack            130703348k   0  12%|mysqld       206M|   0     0 |  14   30    0  310    0
Aug 09 13:53:57 ubuntu dstat.sh[491]: 09-08 13:53:57| 21   6  73   0   0| 805M 1305M  154M 5495M|6306B 1512B|   0     0 |   0     0 |1274  2195 |0.98 1.06 0.89|1.0   0 102|   0     0 |openstack            13174 14%4423k   0 |bash                 2692   11M7637B0.2%|mysqld       206M|   0     0 |  14   29    0  313    0
Aug 09 13:53:58 ubuntu dstat.sh[491]: 09-08 13:53:58| 24   2  74   0   0| 783M 1327M  154M 5495M|7033B 1620B|   0     0 |   0     0 | 925  1381 |0.98 1.06 0.89|1.0   0 3.0|   0     0 |uwsgi                2736 2.8%3658B  13k|bash                 13127  11M 217B0.2%|mysqld       206M|   0     0 |  14   29    0  313    0
Aug 09 13:53:59 ubuntu dstat.sh[491]: 09-08 13:53:59| 22   4  74   0   0| 820M 1290M  154M 5495M|8148B 1620B|   0   120k|   0  18.0 | 898  1047 |0.98 1.06 0.90|1.0   0  48|   0     0 |openstack            13225 23%8488k   0 |openstack            132258488k   0  23%|mysqld       206M|   0     0 |  14   29    0  313    0
Aug 09 13:54:00 ubuntu dstat.sh[491]: 09-08 13:54:00| 21   6  73   0   0| 796M 1314M  154M 5495M|6178B 1512B|   0    60k|   0  5.00 |1164  1807 |0.98 1.06 0.90|1.0   0  81|   0     0 |openstack            133066.8%2544k   0 |bash                 2692   22M5771B  0%|mysqld       206M|   0     0 |  14   29    0  302    0
Aug 09 13:54:01 ubuntu dstat.sh[491]: 09-08 13:54:01| 22   4  74   0   0| 832M 1278M  154M 5495M|8043B 1674B|   0   216k|   0  12.0 | 836   975 |0.98 1.06 0.90|1.0   0   0|   0     0 |openstack            13306 23%8467k   0 |openstack            133068467k   0  23%|mysqld       206M|   0     0 |  14   31    0  304    0
Aug 09 13:54:02 ubuntu dstat.sh[491]: 09-08 13:54:02| 21   5  74   0   0| 809M 1301M  154M 5495M|6061B 1620B|   0     0 |   0     0 |1176  1849 |0.98 1.06 0.90|1.0   0  64|   0     0 |openstack            13370 14%5310k   0 |bash                 13250  11M2919B  0%|mysqld       206M|   0     0 |  14   29    0  296    0
Aug 09 13:54:03 ubuntu dstat.sh[491]: 09-08 13:54:03| 24   3  71   2   0| 784M 1326M  154M 5495M|7266B 1620B|   0  1692k|   0   141 |1459  1956 |0.98 1.06 0.90|2.0   0  56|   0     0 |uwsgi                2737 2.5%4801B  15k|bash                 2692   22M7927B0.2%|mysqld       206M|   0     0 |  14   29    0  303    0
Aug 09 13:54:04 ubuntu dstat.sh[491]: 09-08 13:54:04| 23   4  74   0   0| 829M 1281M  154M 5495M|8142B 1620B|   0   144k|   0  3.00 | 776   931 |0.98 1.06 0.90|1.0   0  26|   0     0 |openstack            13452 24%  11M   0 |openstack            13452  11M   0  24%|mysqld       206M|   0     0 |  14   29    0  288    0
Aug 09 13:54:05 ubuntu dstat.sh[491]: 09-08 13:54:05| 22   5  73   0   0| 806M 1303M  154M 5495M|  11k 1620B|   0     0 |   0     0 |1287  2038 |0.98 1.06 0.90|1.0   0  60|   0     0 |openstack            13512 12%5123k   0 |bash                 2692   11M2909B  0%|mysqld       206M|   0     0 |  14   29    0  296    0
Aug 09 13:54:06 ubuntu dstat.sh[491]: 09-08 13:54:06| 24   2  73   0   0| 783M 1326M  154M 5495M|7799B 1512B|   0   100k|   0  8.00 |1038  1608 |0.98 1.06 0.90|2.0   0  26|   0     0 |uwsgi                2737 4.5%3658B  14k|bash                 2692   11M3790B0.2%|mysqld       206M|   0     0 |  14   29    0  297    0
Aug 09 13:54:07 ubuntu dstat.sh[491]: 09-08 13:54:07| 22   5  73   0   0| 831M 1279M  154M 5495M|7876B 1620B|   0    84k|   0  6.00 | 941  1194 |0.98 1.06 0.90|1.0   0  61|   0     0 |openstack            13597 23%  11M   0 |openstack            13597  11M   0  23%|mysqld       206M|   0     0 |  14   29    0  297    0
Aug 09 13:54:08 ubuntu dstat.sh[491]: 09-08 13:54:08| 19   8  73   0   0| 805M 1305M  154M 5495M|  15k 1620B|   0   140k|   0  14.0 |1530  2324 |0.98 1.06 0.90|1.0   0 128|   0     0 |openstack            13727 10%4110k   0 |bash                 2692   11M5931B0.2%|mysqld       206M|   0     0 |  14   29    0  290    0
Aug 09 13:54:09 ubuntu dstat.sh[491]: 09-08 13:54:09| 23   4  73   0   0| 784M 1325M  154M 5495M|8377B 1620B|   0    84k|   0  14.0 |1013  1418 |0.99 1.06 0.90|1.0   0  11|   0     0 |uwsgi                2737 2.0%2482B9691B|bash                 13659  11M2650B  0%|mysqld       206M|   0     0 |  14   29    0  295    0
Aug 09 13:54:10 ubuntu dstat.sh[491]: 09-08 13:54:10| 19   9  72   0   0| 820M 1289M  154M 5495M|  10k 1620B|   0     0 |   0     0 |1181  1850 |0.99 1.06 0.90|1.0   0 168|   0     0 |openstack            13910 18%7658k   0 |bash                 2692   11M8863B0.2%|mysqld       206M|   0     0 |  14   29    0  288    0
Aug 09 13:54:11 ubuntu dstat.sh[491]: 09-08 13:54:11| 24   3  73   0   0| 793M 1316M  154M 5495M|8021B 1620B|   0     0 |   0     0 |1323  2027 |0.99 1.06 0.90|1.0   0  21|   0     0 |openstack            139315.2%2020k   0 |bash                 2692   11M4249B0.5%|mysqld       206M|   0     0 |  14   29    0  297    0
Aug 09 13:54:12 ubuntu dstat.sh[491]: 09-08 13:54:12| 23   3  74   0   0| 831M 1279M  154M 5495M|7151B 1566B|   0  1160k|   0  36.0 | 915  1162 |0.99 1.06 0.90|1.0   0   0|   0     0 |openstack            13931 23%8978k   0 |openstack            139318978k   0  23%|mysqld       206M|   0     0 |  14   31    0  294    0
Aug 09 13:54:13 ubuntu dstat.sh[491]: 09-08 13:54:13| 23   5  72   0   0| 814M 1295M  154M 5495M|8004B 1662B|   0    32k|   0  3.00 |1120  1907 |0.99 1.06 0.90|1.0   0  71|   0     0 |openstack            14002 16%6364k   0 |bash                 2692   11M   0   0%|mysqld       206M|   0     0 |  14   29    0  299    0
Aug 09 13:54:14 ubuntu dstat.sh[491]: 09-08 13:54:14| 25   2  73   0   0| 833M 1276M  154M 5495M|6503B 1620B|   0    64k|   0  6.00 |1142  1743 |0.99 1.06 0.90|1.0   0   0|   0     0 |openstack            14002 17%4642k 725B|openstack            140024642k 725B 17%|mysqld       206M|   0     0 |  14   29    0  302    0
Aug 09 13:54:15 ubuntu dstat.sh[491]: 09-08 13:54:15| 20   8  73   0   0| 819M 1290M  154M 5495M|7049B 1620B|   0     0 |   0     0 |1153  1692 |0.99 1.06 0.90|1.0   0 121|   0     0 |openstack            14123 19%7658k   0 |bash                 2692   11M7350B  0%|mysqld       206M|   0     0 |  14   29    0  302    0
Aug 09 13:54:16 ubuntu dstat.sh[491]: 09-08 13:54:16| 20   8  71   0   0| 793M 1316M  154M 5495M|8033B 1608B|   0   164k|   0  13.0 |1714  2728 |0.99 1.06 0.90|1.0   0 179|   0     0 |openstack            143022.2%1655k   0 |bash                 2692   11M8896B0.5%|mysqld       206M|   0     0 |  14   29    0  294    0
Aug 09 13:54:17 ubuntu dstat.sh[491]: 09-08 13:54:17| 23   4  73   0   0| 833M 1276M  154M 5495M|6091B 1566B|   0   680k|   0  30.0 | 640   859 |0.99 1.06 0.90|1.0   0 2.0|   0     0 |openstack            14302 25%9338k   0 |openstack            143029338k   0  25%|mysqld       206M|   0     0 |  14   31    0  294    0
Aug 09 13:54:18 ubuntu dstat.sh[491]: 09-08 13:54:18| 22   4  74   0   0| 809M 1300M  154M 5495M|5878B 1620B|   0     0 |   0     0 |1203  1838 |0.99 1.06 0.90|1.0   0  21|   0     0 |openstack            14325 15%5576k   0 |bash                 2692   11M4303B  0%|mysqld       206M|   0     0 |  14   29    0  296    0
Aug 09 13:54:19 ubuntu dstat.sh[491]: 09-08 13:54:19| 23   5  72   0   0| 790M 1319M  154M 5495M|9376B 1620B|   0    72k|   0  8.00 |1311  1992 |0.99 1.05 0.90|1.0   0  71|   0     0 |uwsgi                2736 2.8%4965B  15k|bash                 2692   11M   0   0%|mysqld       206M|   0     0 |  14   29    0  303    0
Aug 09 13:54:20 ubuntu dstat.sh[491]: 09-08 13:54:20| 23   3  74   0   0| 832M 1277M  154M 5495M|  15k 1620B|   0     0 |   0     0 | 741   833 |0.99 1.05 0.90|1.0   0   0|   0     0 |openstack            14396 25%9956k   0 |openstack            143969956k   0  25%|mysqld       206M|   0     0 |  14   29    0  299    0
Aug 09 13:54:21 ubuntu dstat.sh[491]: 09-08 13:54:21| 20   8  72   0   0| 804M 1305M  154M 5496M|8036B 1620B|   0     0 |   0     0 |1729  2681 |0.99 1.05 0.90|1.0   0 109|   0     0 |openstack            14505 11%3771k   0 |bash                 2692   11M7380B0.2%|mysqld       206M|   0     0 |  14   29    0  307    0
Aug 09 13:54:22 ubuntu dstat.sh[491]: 09-08 13:54:22| 23   4  74   0   0| 784M 1325M  154M 5496M|6819B 1620B|   0    44k|   0  3.00 |1098  1605 |0.99 1.05 0.90|1.0   0  29|   0     0 |uwsgi                2737 2.0%3548B  11k|bash                 2692   11M4168B  0%|mysqld       206M|   0     0 |  14   29    0  299    0
Aug 09 13:54:23 ubuntu dstat.sh[491]: 09-08 13:54:23| 20   7  72   0   0| 819M 1289M  154M 5496M|6198B 1566B|   0     0 |   0     0 |1108  1705 |0.99 1.05 0.90|1.0   0 103|   0     0 |openstack            14637 20%7658k   0 |openstack            146377658k   0  20%|mysqld       206M|   0     0 |  14   29    0  299    0
Aug 09 13:54:24 ubuntu dstat.sh[491]: 09-08 13:54:24| 20   7  72   1   0| 785M 1324M  154M 5496M|6325B 1620B|   0  2856k|   0   152 |1713  2410 |0.99 1.05 0.90|4.0   0 120|   0     0 |uwsgi                2737 2.5%2482B9691B|bash                 2692   11M8869B0.2%|mysqld       206M|   0     0 |  14   29    0  296    0
Aug 09 13:54:25 ubuntu dstat.sh[491]: 09-08 13:54:25| 22   5  73   0   0| 829M 1280M  154M 5496M|6094B 1620B|   0  1024k|   0  34.0 | 917  1289 |0.99 1.05 0.90|1.0   0  59|   0     0 |openstack            14816 24%  10M   0 |openstack            14816  10M   0  24%|mysqld       206M|   0     0 |  14   29    0  296    0
Aug 09 13:54:26 ubuntu dstat.sh[491]: 09-08 13:54:26| 23   4  73   0   0| 794M 1315M  154M 5496M|6714B 1620B|   0     0 |   0     0 |1451  2186 |0.99 1.05 0.90|1.0   0  21|   0     0 |openstack            148375.2%1953k   0 |bash                 2692   11M4249B0.2%|mysqld       206M|   0     0 |  14   29    0  299    0
Aug 09 13:54:27 ubuntu dstat.sh[491]: 09-08 13:54:27| 23   4  73   0   0| 831M 1278M  154M 5496M|6668B 1620B|   0     0 |   0     0 | 832  1010 |0.99 1.05 0.90|1.0   0 2.0|   0     0 |openstack            14837 23%9042k   0 |openstack            148379042k   0  23%|mysqld       206M|   0     0 |  14   29    0  301    0
Aug 09 13:54:28 ubuntu dstat.sh[491]: 09-08 13:54:28| 22   5  72   0   0| 812M 1297M  154M 5496M|6822B 1512B|   0    44k|   0  3.00 |1361  2154 |0.99 1.05 0.90|1.0   0  71|   0     0 |openstack            14910 15%5628k   0 |bash                 2692   11M   0   0%|mysqld       206M|   0     0 |  14   29    0  301    0
Aug 09 13:54:29 ubuntu dstat.sh[491]: 09-08 13:54:29| 24   2  73   0   0| 834M 1275M  154M 5496M|6694B 1620B|   0     0 |   0     0 |1334  1967 |0.99 1.05 0.90|1.0   0   0|   0     0 |openstack            14910 17%5378k 725B|openstack            149105378k 725B 17%|mysqld       206M|   0     0 |  14   29    0  310    0
Aug 09 13:54:30 ubuntu dstat.sh[491]: 09-08 13:54:30| 18   9  73   0   0| 819M 1289M  154M 5496M|7814B 1714B|   0     0 |   0     0 |1234  1630 |0.99 1.05 0.90|1.0   0 109|   0     0 |openstack            15019 19%7658k   0 |bash                 2692   11M7346B0.2%|mysqld       206M|   0     0 |  14   29    0  295    0
Aug 09 13:54:31 ubuntu dstat.sh[491]: 09-08 13:54:31| 23   5  73   0   0| 790M 1318M  154M 5496M|7234B 1620B|   0    60k|   0  6.00 |1360  1834 |0.99 1.05 0.90|2.0   0  51|   0     0 |uwsgi                2736 2.5%3828B  17k|bash                 14976  11M2297B  0%|mysqld       206M|   0     0 |  14   29    0  301    0
Aug 09 13:54:32 ubuntu dstat.sh[491]: 09-08 13:54:32| 22   4  74   0   0| 831M 1277M  154M 5496M|7707B 1620B|   0   148k|   0  9.00 | 749   789 |0.99 1.05 0.90|1.0   0   0|   0     0 |openstack            15070 25%  10M   0 |openstack            15070  10M   0  25%|mysqld       206M|   0     0 |  14   29    0  287    0
Aug 09 13:54:33 ubuntu dstat.sh[491]: 09-08 13:54:33| 19   9  72   0   0| 805M 1303M  154M 5496M|6602B 1566B|   0    28k|   0  3.00 |1443  2214 |0.99 1.05 0.90|1.0   0 120|   0     0 |openstack            15190 12%4493k   0 |bash                 2692   22M8440B0.2%|mysqld       206M|   0     0 |  14   29    0  291    0
Aug 09 13:54:34 ubuntu dstat.sh[491]: 09-08 13:54:34| 23   4  73   0   0| 784M 1324M  154M 5496M|6416B 1566B|   0   244k|   0  35.0 |1223  1675 |0.99 1.05 0.90|1.0   0  32|   0     0 |uwsgi                2736 2.5%2557B9834B|bash                 2692   11M4368B0.2%|mysqld       206M|   0     0 |  14   29    0  281    0
Aug 09 13:54:35 ubuntu dstat.sh[491]: 09-08 13:54:35| 20   7  73   0   0| 819M 1289M  154M 5496M|8155B 1674B|   0    72k|   0  5.00 |1144  1544 |0.99 1.05 0.90|1.0   0 100|   0     0 |openstack            15325 20%7658k   0 |openstack            153257658k   0  20%|mysqld       206M|   0     0 |  14   29    0  281    0
Aug 09 13:54:36 ubuntu dstat.sh[491]: 09-08 13:54:36| 20   8  72   0   0| 788M 1320M  154M 5496M|8326B 1620B|   0   196k|   0  21.0 |1602  2591 |0.99 1.05 0.90|3.0   0 151|   0     0 |uwsgi                2737 2.2%2557B9834B|bash                 2692   11M8919B0.5%|mysqld       206M|   0     0 |  14   29    0  280    0
Aug 09 13:54:37 ubuntu dstat.sh[491]: 09-08 13:54:37| 23   4  73   0   0| 830M 1278M  154M 5496M|5604B 1512B|   0   864k|   0  29.0 | 843  1082 |0.99 1.05 0.90|1.0   0  30|   0     0 |openstack            15505 24%  10M   0 |openstack            15505  10M   0  24%|mysqld       206M|   0     0 |  14   29    0  280    0
Aug 09 13:54:38 ubuntu dstat.sh[491]: 09-08 13:54:38| 24   3  73   0   0| 800M 1308M  154M 5496M|4740B 1620B|   0    32k|   0  5.00 |1414  2117 |0.99 1.05 0.90|1.0   0  21|   0     0 |openstack            155289.2%3248k   0 |bash                 2692   11M4249B  0%|mysqld       206M|   0     0 |  14   29    0  284    0
Aug 09 13:54:39 ubuntu dstat.sh[491]: 09-08 13:54:39| 24   3  74   0   0| 832M 1276M  154M 5496M|5425B  972B|   0    44k|   0  3.00 |1074  1653 |0.99 1.05 0.90|1.0   0   0|   0     0 |openstack            15528 19%7750k   0 |openstack            155287750k   0  19%|mysqld       206M|   0     0 |  14   29    0  292    0
Aug 09 13:54:40 ubuntu dstat.sh[491]: 09-08 13:54:40| 22   6  72   0   0| 820M 1288M  154M 5496M|5893B 1026B|   0   180k|   0  4.00 | 898  1300 |0.99 1.05 0.90|1.0   0  71|   0     0 |openstack            15599 21%7658k   0 |bash                 2692   11M   0 0.2%|mysqld       206M|   0     0 |  14   29    0  292    0
Aug 09 13:54:41 ubuntu dstat.sh[491]: 09-08 13:54:41| 23   5  72   0   0| 784M 1324M  154M 5496M|8054B 1404B|   0   124k|   0  9.00 |1552  2532 |0.99 1.05 0.90|1.0   0  69|   0     0 |uwsgi                2736 3.5%6161B  23k|bash                 2692   11M8171B0.2%|mysqld       206M|   0     0 |  14   29    0  287    0
Aug 09 13:54:42 ubuntu dstat.sh[491]: 09-08 13:54:42| 15  13  72   0   0| 795M 1313M  154M 5497M|7444B 1458B|   0   216k|   0  12.0 |2024  3013 |0.99 1.05 0.90|1.0   0 242|   0     0 |glance-manage        159103.2%2746k  17k|bash                 2692 3660k  20k2.5%|mysqld       206M|   0     0 |  14   29    0  289    0
Aug 09 13:54:43 ubuntu dstat.sh[491]: 09-08 13:54:43| 23   3  74   0   0| 835M 1272M  154M 5497M|  16k 1404B|   0  2008k|   0  46.0 | 713   928 |0.99 1.05 0.90|1.0   0   0|   0     0 |glance-manage        15910 25%9611k 226k|glance-manage        159109611k 226k 25%|mysqld       206M|   0     0 |  14   29    0  283    0
Aug 09 13:54:44 ubuntu dstat.sh[491]: 09-08 13:54:44| 13   3  73  12   0| 851M 1255M  154M 5498M|  12k 1458B|   0  3856k|   0   325 |2204  3518 |1.07 1.07 0.91|  0 1.0 1.0|   0     0 |glance-manage        159109.5%1829k 256k|glance-manage        159101829k 256k9.5%|mysqld       211M|   0     0 |  14   33    0  283    0
Aug 09 13:54:45 ubuntu dstat.sh[491]: 09-08 13:54:45|  5   3  74  18   0| 852M 1252M  154M 5499M|9819B 1620B|   0  7324k|   0   703 |2307  4256 |1.07 1.07 0.91|  0 1.0   0|   0     0 |mysqld               322183.2%   0    0 |python2              535    60k 466B  0%|mysqld       213M|   0     0 |  14   33    0  277    0
Aug 09 13:54:46 ubuntu dstat.sh[491]: 09-08 13:54:46|  7   3  72  18   0| 853M 1251M  155M 5499M|6533B 1566B|   0  7852k|   0   679 |2769  5017 |1.07 1.07 0.91|2.0   0   0|   0     0 |mysqld               322184.0%   0    0 |glance-manage        15910  93k3365B3.0%|mysqld       213M|   0     0 |  14   33    0  277    0
Aug 09 13:54:47 ubuntu dstat.sh[491]: 09-08 13:54:47| 24   3  74   0   0| 833M 1272M  155M 5499M|7806B 1620B|   0   164k|   0  13.0 | 773   904 |1.07 1.07 0.91|1.0   0 7.0|   0     0 |glance-manage        15916 20%9409k   0 |bash                 2692   14M 502k  0%|mysqld       213M|   0     0 |  14   29    0  264    0
Aug 09 13:54:48 ubuntu dstat.sh[491]: 09-08 13:54:48| 19   3  74   4   0| 853M 1251M  155M 5499M|9027B 1620B|   0  2592k|   0   393 |3935  7086 |1.07 1.07 0.91|1.0   0   0|   0     0 |glance-manage        15916 18%4623k3160B|glance-manage        159164623k3160B 18%|mysqld       213M|   0     0 |  14   31    0  264    0
Aug 09 13:54:49 ubuntu dstat.sh[491]: 09-08 13:54:49| 18   6  73   4   0| 792M 1312M  155M 5499M|7104B 1674B|   0  2388k|   0   372 |4196  6899 |1.07 1.07 0.91|1.0   0  53|   0     0 |mysqld               322184.2%   0    0 |bash                 2692   14M8564B0.5%|mysqld       213M|   0     0 |  14   29    0  251    0
Aug 09 13:54:50 ubuntu dstat.sh[491]: 09-08 13:54:50| 18   9  73   0   0| 826M 1277M  155M 5499M|  14k 1620B|   0  6540k|   0  50.0 |1288  2327 |1.07 1.07 0.91|1.0   0 125|   0     0 |oslo-config-gen      16096 18%8383k   0 |oslo-config-gen      160968383k   0  18%|mysqld       213M|   0     0 |  14   29    0  251    0
Aug 09 13:54:51 ubuntu dstat.sh[491]: 09-08 13:54:51| 24   3  72   2   0| 794M 1309M  155M 5500M|5957B 1620B|   0  6576k|   0   116 | 881  1346 |1.07 1.07 0.91|1.0   0 4.0|   0     0 |oslo-config-gen      161000.8% 474k   0 |generate_config      16086  17M  13k  0%|mysqld       213M|   0     0 |  14   29    0  236    0
