-- Logs begin at Wed 2022-11-02 12:53:20 UTC, end at Wed 2022-11-02 15:11:44 UTC. --
Nov 02 14:28:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 02 14:28:16 ubuntu dstat.sh[71630]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 02 14:28:16 ubuntu dstat.sh[71630]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 02 14:40:57 ubuntu dstat.sh[71630]: 02-11 14:40:57|  3   1  94   1   0|5090M  200M  178M 2385M|  38k 7551 |   0   152k|   0  11.0 |1764  2838 |1.25 1.75 1.46|3.0   0   0|   0     0 |   0     0 | 25  316    0   20    0
Nov 02 14:40:58 ubuntu dstat.sh[71630]: 02-11 14:40:58|  7   3  88   0   0|5089M  200M  178M 2385M|  49k 8381 |   0   220k|   0  22.0 |2014  3123 |1.25 1.75 1.46|1.0   0   0|   0     0 |   0     0 | 25  316    0   20    0
Nov 02 14:40:59 ubuntu dstat.sh[71630]: 02-11 14:40:59|  3   2  95   0   0|5089M  200M  178M 2385M|  37k 6572 |   0   180k|   0  19.0 |1870  3076 |1.25 1.75 1.46|2.0   0   0|   0     0 |   0     0 | 25  316    0   20    0
Nov 02 14:41:00 ubuntu dstat.sh[71630]: 02-11 14:41:00|  3   2  95   0   0|5089M  200M  178M 2385M|  35k 2414 |   0   404k|   0  26.0 |1751  2812 |1.15 1.72 1.45|1.0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Nov 02 14:41:01 ubuntu dstat.sh[71630]: 02-11 14:41:01|  3   2  95   0   0|5089M  200M  178M 2385M|  37k 2342 |   0    36k|   0  3.99 |1707  2653 |1.15 1.72 1.45|2.0   0 2.0|   0     0 |   0     0 | 25  316    0   19    0
Nov 02 14:41:02 ubuntu dstat.sh[71630]: 02-11 14:41:02|  3   1  94   0   1|5089M  200M  178M 2385M|  31k   12k|   0   148k|   0  23.0 |1924  3109 |1.15 1.72 1.45|1.0   0   0|   0     0 |   0     0 | 25  316    0   17    0
Nov 02 14:41:03 ubuntu dstat.sh[71630]: 02-11 14:41:03|  3   1  95   0   0|5089M  200M  178M 2385M|  18k 3167 |   0   300k|   0  23.0 |1961  3184 |1.15 1.72 1.45|1.0   0   0|   0     0 |   0     0 | 25  316    0   17    0
Nov 02 14:41:04 ubuntu dstat.sh[71630]: 02-11 14:41:04| 14   4  80   1   0|5104M  185M  178M 2385M|  70k   48k|   0   537k|   0  46.1 |2448  3816 |1.15 1.72 1.45|3.0   0 2.0|   0     0 |   0     0 | 25  316    0    9    0
Nov 02 14:41:05 ubuntu dstat.sh[71630]: 02-11 14:41:05| 23   6  70   2   0|5105M  184M  178M 2385M|  32k 8402 | 255k 1040k|1.99   125 |2606  3690 |1.14 1.71 1.45|3.0   0 4.0|   0     0 |   0     0 | 25  316    0    9    0
Nov 02 14:41:06 ubuntu dstat.sh[71630]: 02-11 14:41:06| 22   6  71   0   0|5099M  191M  178M 2385M|  25k 4476 | 257k  449k|2.00  20.0 |2225  3378 |1.14 1.71 1.45|2.0   0 4.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:07 ubuntu dstat.sh[71630]: 02-11 14:41:07| 24   5  71   0   0|5103M  186M  178M 2385M|  51k   24k| 256k  364k|2.00  7.00 |2052  3002 |1.14 1.71 1.45|3.0   0 4.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:08 ubuntu dstat.sh[71630]: 02-11 14:41:08| 17   4  77   1   0|5090M  200M  178M 2385M|  39k   14k| 255k  750k|1.99  40.9 |2256  3407 |1.14 1.71 1.45|1.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:09 ubuntu dstat.sh[71630]: 02-11 14:41:09|  9   3  88   0   0|5090M  199M  178M 2385M| 125k  105k|   0   180k|   0  24.1 |3120  5714 |1.14 1.71 1.45|1.0   0   0|   0     0 |   0     0 | 25  316    0    9    0
Nov 02 14:41:10 ubuntu dstat.sh[71630]: 02-11 14:41:10|  4   2  93   1   0|5090M  199M  178M 2385M|  29k 7659 |   0  1837k|   0   280 |2146  2858 |1.05 1.68 1.44|1.0   0   0|   0     0 |   0     0 | 25  316    0    8    0
Nov 02 14:41:11 ubuntu dstat.sh[71630]: 02-11 14:41:11|  5   1  94   0   0|5090M  199M  178M 2385M|  26k 2540 |   0    68k|   0  3.99 |1793  2832 |1.05 1.68 1.44|1.0   0 2.0|   0     0 |   0     0 | 25  316    0    8    0
Nov 02 14:41:12 ubuntu dstat.sh[71630]: 02-11 14:41:12|  6   2  92   1   0|5090M  199M  178M 2385M|  38k   14k|   0   204k|   0  30.1 |2024  3139 |1.05 1.68 1.44|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:13 ubuntu dstat.sh[71630]: 02-11 14:41:13|  4   1  96   0   0|5090M  199M  178M 2385M|  18k 2381 |   0   300k|   0  21.0 |1822  2887 |1.05 1.68 1.44|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:14 ubuntu dstat.sh[71630]: 02-11 14:41:14|  4   2  93   1   0|5090M  199M  178M 2385M|  41k   14k|   0   172k|   0  25.0 |2092  3268 |1.05 1.68 1.44|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:15 ubuntu dstat.sh[71630]: 02-11 14:41:15|  4   1  93   0   0|5090M  199M  178M 2385M|  40k 8348 |   0   191k|   0  17.9 |2077  3326 |0.96 1.65 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    8    0
Nov 02 14:41:16 ubuntu dstat.sh[71630]: 02-11 14:41:16|  3   2  95   1   0|5090M  199M  178M 2385M|  21k 2225 |   0   136k|   0  8.02 |1978  2790 |0.96 1.65 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:17 ubuntu dstat.sh[71630]: 02-11 14:41:17| 10   4  86   0   0|5090M  199M  178M 2385M|  31k 9939 |   0     0 |   0     0 |2616  6381 |0.96 1.65 1.43|7.0   0  34|   0     0 |   0     0 | 25  316    0    8    0
Nov 02 14:41:18 ubuntu dstat.sh[71630]: 02-11 14:41:18|  4   1  93   0   0|5090M  199M  178M 2385M|  32k 6663 |   0   516k|   0  42.0 |2071  3237 |0.96 1.65 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:19 ubuntu dstat.sh[71630]: 02-11 14:41:19|  3   2  93   2   0|5090M  199M  178M 2385M|  36k   13k|   0   244k|   0  33.1 |2067  3345 |0.96 1.65 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:20 ubuntu dstat.sh[71630]: 02-11 14:41:20|  4   0  96   0   0|5090M  199M  178M 2385M|  23k 2130 |   0    80k|   0  5.99 |1761  2799 |0.89 1.62 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:21 ubuntu dstat.sh[71630]: 02-11 14:41:21|  3   2  95   0   0|5090M  199M  178M 2385M|  27k 2108 |   0   116k|   0  7.01 |1721  2779 |0.89 1.62 1.43|3.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:22 ubuntu dstat.sh[71630]: 02-11 14:41:22|  5   2  93   1   0|5090M  199M  178M 2385M|  39k   15k|   0   348k|   0  39.0 |2136  3397 |0.89 1.62 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:23 ubuntu dstat.sh[71630]: 02-11 14:41:23|  3   1  94   0   0|5090M  199M  178M 2385M|  25k 2302 |   0   408k|   0  28.0 |1978  3122 |0.89 1.62 1.43|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:24 ubuntu dstat.sh[71630]: 02-11 14:41:24|  4   2  93   1   0|5090M  199M  178M 2385M|  40k   22k|   0   256k|   0  32.0 |2092  3342 |0.89 1.62 1.43|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:25 ubuntu dstat.sh[71630]: 02-11 14:41:25|  2   2  94   0   0|5090M  199M  178M 2385M|  30k   11k|   0   272k|   0  29.0 |2238  3572 |0.81 1.60 1.42|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:26 ubuntu dstat.sh[71630]: 02-11 14:41:26|  3   1  95   0   0|5090M  199M  178M 2385M|  32k 3439 |   0   184k|   0  19.0 |2139  3111 |0.81 1.60 1.42|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:27 ubuntu dstat.sh[71630]: 02-11 14:41:27|  4   1  95   0   0|5090M  199M  178M 2385M|  37k 8756 |   0   112k|   0  7.97 |1761  2828 |0.81 1.60 1.42|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:28 ubuntu dstat.sh[71630]: 02-11 14:41:28| 10   5  84   1   0|5101M  187M  178M 2386M|  28k 5320 |   0   224k|   0  26.0 |2410  3635 |0.81 1.60 1.42|1.0   0 4.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:29 ubuntu dstat.sh[71630]: 02-11 14:41:29|  5   3  92   1   0|5101M  187M  178M 2386M|  31k 6322 |   0   216k|   0  20.0 |2323  3677 |0.81 1.60 1.42|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:30 ubuntu dstat.sh[71630]: 02-11 14:41:30|  7   3  91   0   0|5094M  194M  178M 2385M|  16k 1822 |   0   465k|   0  28.1 |1853  2912 |0.75 1.57 1.41|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:31 ubuntu dstat.sh[71630]: 02-11 14:41:31|  3   2  96   0   0|5094M  194M  178M 2385M|  21k 1815 |   0    36k|   0  3.99 |1696  2785 |0.75 1.57 1.41|2.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:32 ubuntu dstat.sh[71630]: 02-11 14:41:32|  5   1  94   0   0|5094M  194M  178M 2385M|  32k   14k|   0   200k|   0  34.1 |2045  3281 |0.75 1.57 1.41|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:33 ubuntu dstat.sh[71630]: 02-11 14:41:33|  4   1  96   0   0|5094M  194M  178M 2385M|  19k 2209 |   0   391k|   0  24.0 |1805  2907 |0.75 1.57 1.41|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:34 ubuntu dstat.sh[71630]: 02-11 14:41:34|  5   2  93   1   0|5094M  194M  178M 2385M|  51k   29k|   0   157k|   0  22.1 |2028  3197 |0.75 1.57 1.41|  0 1.0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:35 ubuntu dstat.sh[71630]: 02-11 14:41:35|  5   2  93   1   0|5094M  194M  178M 2385M|  20k 8176 |   0   199k|   0  28.9 |2166  3616 |0.77 1.56 1.41|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:36 ubuntu dstat.sh[71630]: 02-11 14:41:36|  3   2  94   0   0|5094M  194M  178M 2385M|  33k 3495 |   0   805k|   0   151 |2043  2817 |0.77 1.56 1.41|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:37 ubuntu dstat.sh[71630]: 02-11 14:41:37|  3   1  95   0   0|5094M  194M  178M 2385M|  23k 7662 |   0     0 |   0     0 |1715  2815 |0.77 1.56 1.41|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:38 ubuntu dstat.sh[71630]: 02-11 14:41:38|  3   1  93   1   0|5094M  194M  178M 2385M|  42k 6689 |   0   501k|   0  38.0 |2019  3278 |0.77 1.56 1.41|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:39 ubuntu dstat.sh[71630]: 02-11 14:41:39|  3   1  95   0   0|5094M  194M  178M 2385M|  41k 6626 |   0   108k|   0  16.0 |1837  3057 |0.77 1.56 1.41|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:40 ubuntu dstat.sh[71630]: 02-11 14:41:40|  5   2  94   0   0|5094M  194M  178M 2385M|  38k 7885 |   0   177k|   0  12.0 |1767  2852 |0.71 1.53 1.40|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:41 ubuntu dstat.sh[71630]: 02-11 14:41:41|  3   1  94   1   0|5094M  194M  178M 2385M|  26k 2647 |   0  1485k|   0   239 |1941  2852 |0.71 1.53 1.40|2.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:42 ubuntu dstat.sh[71630]: 02-11 14:41:42|  5   2  93   0   0|5094M  194M  178M 2385M|  41k   13k|   0   208k|   0  22.0 |1896  3185 |0.71 1.53 1.40|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:43 ubuntu dstat.sh[71630]: 02-11 14:41:43|  4   1  95   0   0|5094M  194M  178M 2385M|  20k 2349 |   0   308k|   0  21.0 |1875  3041 |0.71 1.53 1.40|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:44 ubuntu dstat.sh[71630]: 02-11 14:41:44|  4   1  92   1   0|5094M  194M  178M 2385M|  44k   16k|   0   216k|   0  34.1 |2078  3350 |0.71 1.53 1.40|  0 2.0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:45 ubuntu dstat.sh[71630]: 02-11 14:41:45|  3   1  93   0   0|5094M  194M  178M 2385M|  29k 8080 |   0   160k|   0  17.9 |2021  3396 |0.65 1.51 1.39|1.0   0   0|   0     0 |   0     0 | 25  316    0    8    0
Nov 02 14:41:46 ubuntu dstat.sh[71630]: 02-11 14:41:46|  4   1  95   0   0|5094M  194M  178M 2385M|  40k 2836 |   0   140k|   0  9.99 |1729  2787 |0.65 1.51 1.39|1.0   0   0|   0     0 |   0     0 | 25  316    0    8    0
Nov 02 14:41:47 ubuntu dstat.sh[71630]: 02-11 14:41:47|  4   2  95   0   0|5094M  194M  178M 2385M|  43k   14k|   0     0 |   0     0 |1675  2732 |0.65 1.51 1.39|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:48 ubuntu dstat.sh[71630]: 02-11 14:41:48|  5   1  93   1   0|5095M  194M  178M 2385M|  32k 6325 |   0   516k|   0  38.0 |2105  3223 |0.65 1.51 1.39|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:49 ubuntu dstat.sh[71630]: 02-11 14:41:49|  3   2  93   1   0|5095M  194M  178M 2385M|  35k 9673 |   0   152k|   0  21.9 |2049  3217 |0.65 1.51 1.39|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:50 ubuntu dstat.sh[71630]: 02-11 14:41:50|  4   2  95   1   1|5095M  193M  178M 2385M|  33k 2792 |   0   176k|   0  11.0 |1780  2759 |0.60 1.48 1.39|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:51 ubuntu dstat.sh[71630]: 02-11 14:41:51|  4   2  95   0   0|5095M  194M  178M 2385M|  45k 2281 |   0    68k|   0  10.0 |1843  2889 |0.60 1.48 1.39|1.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:52 ubuntu dstat.sh[71630]: 02-11 14:41:52|  4   1  94   1   0|5095M  193M  178M 2385M|  45k   15k|   0   172k|   0  27.1 |1940  3228 |0.60 1.48 1.39|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:53 ubuntu dstat.sh[71630]: 02-11 14:41:53|  4   1  95   0   0|5095M  193M  178M 2385M|  32k 2641 |   0   299k|   0  21.9 |1920  2957 |0.60 1.48 1.39|3.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:54 ubuntu dstat.sh[71630]: 02-11 14:41:54|  4   2  93   0   0|5095M  194M  178M 2385M|  49k   15k|   0   236k|   0  30.1 |2032  3257 |0.60 1.48 1.39|5.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:55 ubuntu dstat.sh[71630]: 02-11 14:41:55|  4   2  93   0   0|5095M  193M  178M 2385M|  44k   17k|   0   243k|   0  36.9 |2286  3633 |0.55 1.46 1.38|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:56 ubuntu dstat.sh[71630]: 02-11 14:41:56|  6   4  93   1   0|5095M  193M  178M 2385M|  43k 3701 |   0   232k|   0  24.0 |2840  4580 |0.55 1.46 1.38|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:57 ubuntu dstat.sh[71630]: 02-11 14:41:57|  3   2  95   0   0|5095M  193M  178M 2385M|  26k 6612 |   0   108k|   0  8.00 |1720  2774 |0.55 1.46 1.38|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:58 ubuntu dstat.sh[71630]: 02-11 14:41:58|  8   4  88   0   0|5093M  195M  178M 2385M|  31k 8670 |   0   180k|   0  21.0 |2103  3137 |0.55 1.46 1.38|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:41:59 ubuntu dstat.sh[71630]: 02-11 14:41:59|  4   2  94   0   0|5093M  195M  178M 2385M|  41k 6782 |   0   208k|   0  19.0 |2005  3131 |0.55 1.46 1.38|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:00 ubuntu dstat.sh[71630]: 02-11 14:42:00|  4   1  94   0   0|5093M  195M  179M 2385M|  38k 2410 |   0   404k|   0  27.0 |1818  2828 |0.51 1.43 1.37|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:01 ubuntu dstat.sh[71630]: 02-11 14:42:01|  3   2  94   0   0|5093M  195M  179M 2385M|  50k 9117 |   0    44k|   0  5.00 |1721  2789 |0.51 1.43 1.37|1.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:02 ubuntu dstat.sh[71630]: 02-11 14:42:02|  5   2  93   0   0|5093M  195M  179M 2385M|  54k   15k|   0   220k|   0  33.0 |2017  3290 |0.51 1.43 1.37|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:03 ubuntu dstat.sh[71630]: 02-11 14:42:03|  3   2  94   0   0|5093M  195M  179M 2385M|  48k 3697 |   0   120k|   0  10.0 |1963  2978 |0.51 1.43 1.37|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:04 ubuntu dstat.sh[71630]: 02-11 14:42:04| 12   3  84   1   0|5108M  180M  179M 2385M|  59k   19k|   0   610k|   0  44.1 |2276  3495 |0.51 1.43 1.37|3.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:05 ubuntu dstat.sh[71630]: 02-11 14:42:05| 23   5  72   0   0|5112M  176M  179M 2385M|  46k 8382 | 256k  352k|2.00  31.0 |2426  3671 |0.55 1.42 1.37|2.0   0 5.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:06 ubuntu dstat.sh[71630]: 02-11 14:42:06| 24   5  71   0   0|5108M  180M  179M 2385M|  24k 3284 | 255k  335k|1.99  13.0 |2156  3335 |0.55 1.42 1.37|2.0   0 3.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:07 ubuntu dstat.sh[71630]: 02-11 14:42:07| 24   5  71   0   0|5111M  177M  179M 2385M|  55k   22k| 257k  365k|2.00  8.02 |2055  2978 |0.55 1.42 1.37|3.0   0 5.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:08 ubuntu dstat.sh[71630]: 02-11 14:42:08| 14   2  81   0   0|5093M  195M  179M 2385M|  38k   16k| 255k  777k|1.99  37.9 |2158  3293 |0.55 1.42 1.37|2.0   0 1.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:09 ubuntu dstat.sh[71630]: 02-11 14:42:09|  4   2  94   0   0|5093M  195M  179M 2385M|  30k 6512 |   0   136k|   0  16.0 |1838  3020 |0.55 1.42 1.37|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:10 ubuntu dstat.sh[71630]: 02-11 14:42:10|  8   3  87   0   0|5093M  195M  179M 2385M| 149k  122k|   0   175k|   0  12.0 |2745  6163 |0.66 1.43 1.37|2.0   0   0|   0     0 |   0     0 | 25  318    0    9    0
Nov 02 14:42:11 ubuntu dstat.sh[71630]: 02-11 14:42:11| 11   2  87   0   0|5094M  194M  179M 2385M| 183k  160k|   0   100k|   0  6.01 |2356  4106 |0.66 1.43 1.37|2.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:12 ubuntu dstat.sh[71630]: 02-11 14:42:12|  4   2  92   2   0|5094M  194M  179M 2385M|  41k   13k|   0  2487k|   0   416 |2321  3140 |0.66 1.43 1.37|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:13 ubuntu dstat.sh[71630]: 02-11 14:42:13|  3   1  94   0   0|5094M  194M  179M 2385M|  25k 2479 |   0   304k|   0  21.0 |1824  2946 |0.66 1.43 1.37|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:14 ubuntu dstat.sh[71630]: 02-11 14:42:14|  4   2  93   1   0|5094M  194M  179M 2385M|  40k   14k|   0   172k|   0  27.1 |1950  3041 |0.66 1.43 1.37|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:15 ubuntu dstat.sh[71630]: 02-11 14:42:15|  4   2  92   1   1|5094M  194M  179M 2385M|  34k 8411 |   0   160k|   0  18.9 |2116  3423 |0.61 1.41 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:16 ubuntu dstat.sh[71630]: 02-11 14:42:16|  4   1  95   0   0|5094M  194M  179M 2385M|  32k 2505 |   0   112k|   0  8.00 |1714  2666 |0.61 1.41 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:17 ubuntu dstat.sh[71630]: 02-11 14:42:17| 10   5  85   0   0|5094M  194M  179M 2385M|  26k 7543 |   0    72k|   0  3.00 |2371  5087 |0.61 1.41 1.36|4.0   0  34|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:18 ubuntu dstat.sh[71630]: 02-11 14:42:18|  4   1  93   1   0|5094M  194M  179M 2385M|  22k 6444 |   0   503k|   0  38.0 |1963  3188 |0.61 1.41 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:19 ubuntu dstat.sh[71630]: 02-11 14:42:19|  3   2  94   0   0|5094M  194M  179M 2385M|  46k 8597 |   0   108k|   0  16.0 |1956  3217 |0.61 1.41 1.36|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:20 ubuntu dstat.sh[71630]: 02-11 14:42:20|  4   2  94   1   1|5094M  194M  179M 2385M|  20k 2533 |   0   201k|   0  14.0 |1740  2741 |0.64 1.40 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:21 ubuntu dstat.sh[71630]: 02-11 14:42:21|  2   2  94   1   0|5094M  194M  179M 2386M|  23k 5088 |   0   231k|   0  23.9 |1861  2980 |0.64 1.40 1.36|1.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:22 ubuntu dstat.sh[71630]: 02-11 14:42:22|  4   1  93   0   0|5094M  194M  179M 2385M|  24k   14k|   0   200k|   0  25.0 |1946  3234 |0.64 1.40 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:23 ubuntu dstat.sh[71630]: 02-11 14:42:23|  3   2  95   0   0|5094M  194M  179M 2386M|  29k 2146 |   0   284k|   0  20.0 |1822  2905 |0.64 1.40 1.36|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:24 ubuntu dstat.sh[71630]: 02-11 14:42:24|  4   2  94   1   0|5094M  194M  179M 2386M|  36k   15k|   0   208k|   0  29.0 |1997  3167 |0.64 1.40 1.36|2.0 1.0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:25 ubuntu dstat.sh[71630]: 02-11 14:42:25|  5   1  93   0   0|5094M  194M  179M 2386M|  39k   10k|   0   156k|   0  18.0 |2142  3408 |0.59 1.38 1.35|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:26 ubuntu dstat.sh[71630]: 02-11 14:42:26|  4   2  94   0   0|5094M  194M  179M 2386M|  29k 3370 |   0   176k|   0  19.0 |2112  3065 |0.59 1.38 1.35|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:27 ubuntu dstat.sh[71630]: 02-11 14:42:27|  4   1  95   0   0|5094M  194M  179M 2386M|  27k 2370 |   0   108k|   0  7.99 |1705  2749 |0.59 1.38 1.35|2.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:28 ubuntu dstat.sh[71630]: 02-11 14:42:28|  4   3  91   0   0|5121M  166M  179M 2386M|  29k   11k|   0   176k|   0  22.0 |2001  3201 |0.59 1.38 1.35|5.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:29 ubuntu dstat.sh[71630]: 02-11 14:42:29| 10   3  88   0   0|5105M  182M  179M 2386M|  17k 7236 |   0   140k|   0  17.0 |2265  3611 |0.59 1.38 1.35|2.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:30 ubuntu dstat.sh[71630]: 02-11 14:42:30|  8   3  87   0   0|5099M  188M  179M 2386M|  16k 1883 |   0   476k|   0  31.0 |1921  3101 |0.78 1.41 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:31 ubuntu dstat.sh[71630]: 02-11 14:42:31|  3   2  95   0   0|5100M  188M  179M 2386M|  20k 2090 |   0    68k|   0  4.01 |1701  2783 |0.78 1.41 1.36|1.0   0 2.0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:32 ubuntu dstat.sh[71630]: 02-11 14:42:32|  4   1  93   0   0|5100M  188M  179M 2386M|  41k   17k|   0   240k|   0  34.0 |2095  3336 |0.78 1.41 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:33 ubuntu dstat.sh[71630]: 02-11 14:42:33|  3   1  95   0   0|5100M  188M  179M 2386M|  25k 2343 |   0   280k|   0  17.0 |1825  2857 |0.78 1.41 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:34 ubuntu dstat.sh[71630]: 02-11 14:42:34|  5   2  93   0   0|5100M  188M  179M 2386M|  48k   16k|   0   136k|   0  20.0 |2154  3359 |0.78 1.41 1.36|1.0 1.0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:35 ubuntu dstat.sh[71630]: 02-11 14:42:35|  3   1  94   1   0|5100M  188M  179M 2386M|  29k 9267 |   0   196k|   0  29.0 |2075  3404 |0.72 1.38 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
Nov 02 14:42:36 ubuntu dstat.sh[71630]: 02-11 14:42:36|  3   1  95   1   0|5100M  188M  179M 2386M|  22k 3259 |   0   156k|   0  14.0 |1862  2668 |0.72 1.38 1.36|1.0   0   0|   0     0 |   0     0 | 25  316    0    7    0
