-- Logs begin at Thu 2022-06-30 07:07:20 UTC, end at Thu 2022-06-30 09:06:32 UTC. --
Jun 30 08:26:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 30 08:26:08 ubuntu dstat.sh[20946]: [286B blob data]
Jun 30 08:26:08 ubuntu dstat.sh[20946]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Jun 30 08:37:49 ubuntu dstat.sh[20946]: 30-06 08:37:49| 11  23  65   0   0|4029M  201M  156M 3454M|  17k   16k|   0   584k|   0  30.0 |3968  6633 |1.59 1.59 1.23|5.0   0 575|   0     0 |bash                 229183.2% 669k  41k|bash                 22918 669k  41k3.2%|mysqld       414M|   0     0 |  27  252    0  116    0
Jun 30 08:37:50 ubuntu dstat.sh[20946]: 30-06 08:37:50| 19  11  70   0   0|4042M  284M  156M 3365M|  11k   11k|  52k   84k|4.00  4.00 |2161  3370 |1.59 1.59 1.23|6.0   0  92|   0     0 |tox                  19943 20%3322k 464B|tox                  199433322k 464B 20%|mysqld       414M|   0     0 |  27  252    0  106    0
Jun 30 08:37:51 ubuntu dstat.sh[20946]: 30-06 08:37:51| 23   7  69   1   0|4062M  257M  156M 3373M|8390B 1802B|  32k 3452k|3.00   124 |5217    10k|1.54 1.58 1.23|2.0   0 7.0|   0     0 |pip                  19985 11%3922k1070k|tox                  19943  11M8202k0.2%|mysqld       414M|   0     0 |  27  252    0  106    0
Jun 30 08:37:52 ubuntu dstat.sh[20946]: 30-06 08:37:52| 26   3  70   0   0|4068M  249M  156M 3375M|  10k 1866B|   0   720k|   0  10.0 |1725  2213 |1.54 1.58 1.23|6.0   0 7.0|   0     0 |pip                  19985 23%3364k1188k|pip                  199853364k1188k 23%|mysqld       414M|   0     0 |  27  252    0   99    0
Jun 30 08:37:53 ubuntu dstat.sh[20946]: 30-06 08:37:53| 14   1  84   0   0|4070M  247M  156M 3375M|  12k 1857B|   0    80k|   0  6.00 |1335  2056 |1.54 1.58 1.23|1.0   0   0|   0     0 |pip                  19985 11%  36k  17k|python2              20993  68k 451B0.2%|mysqld       414M|   0     0 |  27  253    0   99    0
Jun 30 08:37:54 ubuntu dstat.sh[20946]: 30-06 08:37:54|  5   1  94   0   0|4071M  247M  156M 3375M|  15k 3228B|   0   100k|   0  11.0 |1276  2038 |1.54 1.58 1.23|1.0   0   0|   0     0 |swift-proxy-ser      250000.8%   0    0 |pip                  19985 289k1210B0.5%|mysqld       414M|   0     0 |  27  253    0   93    0
Jun 30 08:37:55 ubuntu dstat.sh[20946]: 30-06 08:37:55| 11   2  87   1   0|4073M  243M  156M 3377M|9515B 3161B|   0   788k|   0  29.0 |1428  2409 |1.54 1.58 1.23|3.0   0   0|   0     0 |pip                  199857.2% 828k1734k|pip                  19985 828k1734k7.2%|mysqld       414M|   0     0 |  27  253    0   94    0
Jun 30 08:37:56 ubuntu dstat.sh[20946]: 30-06 08:37:56| 11   2  86   1   0|4073M  242M  156M 3378M|  18k 3760B|  68k  896k|1.00  28.0 |1479  2360 |1.50 1.57 1.23|2.0   0   0|   0     0 |pip                  199856.5% 511k 608k|pip                  19985 511k 608k6.5%|mysqld       414M|   0     0 |  27  253    0   93    0
Jun 30 08:37:57 ubuntu dstat.sh[20946]: 30-06 08:37:57| 11   2  87   1   0|4073M  233M  156M 3386M|  13k 3133B|   0   876k|   0  22.0 |1440  2221 |1.50 1.57 1.23|5.0   0   0|   0     0 |pip                  199858.2%5211k8925k|pip                  199855211k8925k8.2%|mysqld       414M|   0     0 |  27  253    0   93    0
Jun 30 08:37:58 ubuntu dstat.sh[20946]: 30-06 08:37:58| 10   2  87   1   0|4073M  231M  156M 3388M|  10k 3853B|   0   760k|   0  23.0 |1397  2382 |1.50 1.57 1.23|1.0   0   0|   0     0 |pip                  199855.8% 613k 938k|pip                  19985 613k 938k5.8%|mysqld       414M|   0     0 |  27  253    0   93    0
Jun 30 08:37:59 ubuntu dstat.sh[20946]: 30-06 08:37:59| 10   1  88   1   0|4073M  231M  156M 3388M|  11k 3138B|   0  3212k|   0  63.0 |1561  2503 |1.50 1.57 1.23|3.0   0   0|   0     0 |pip                  199857.0% 426k 462k|pip                  19985 426k 462k7.0%|mysqld       414M|   0     0 |  27  253    0   93    0
Jun 30 08:38:00 ubuntu dstat.sh[20946]: 30-06 08:38:00| 11   1  86   1   0|4074M  227M  157M 3390M|9741B 3739B| 108k  360k|1.00  9.00 |1386  2223 |1.50 1.57 1.23|1.0   0   0|   0     0 |pip                  199856.5%1349k1789k|pip                  199851349k1789k6.5%|mysqld       414M|   0     0 |  27  253    0   91    0
Jun 30 08:38:01 ubuntu dstat.sh[20946]: 30-06 08:38:01|  9   2  88   1   0|4073M  228M  157M 3391M|7736B 3864B|  68k  790k|1.00  48.0 |1514  2461 |1.62 1.59 1.24|2.0   0   0|   0     0 |pip                  199854.0% 317k 519k|pip                  19985 317k 519k4.0%|mysqld       414M|   0     0 |  27  253    0   91    0
Jun 30 08:38:02 ubuntu dstat.sh[20946]: 30-06 08:38:02|  8   2  90   1   0|4073M  226M  157M 3392M|9158B 3876B|   0   424k|   0  17.0 |1516  2219 |1.62 1.59 1.24|1.0   0 2.0|   0     0 |pip                  199853.8% 856k 984k|pip                  19985 856k 984k3.8%|mysqld       414M|   0     0 |  27  253    0   88    0
Jun 30 08:38:03 ubuntu dstat.sh[20946]: 30-06 08:38:03| 13   2  84   1   0|4075M  221M  157M 3396M|  14k 3110B|   0   592k|   0  12.0 |1446  2188 |1.62 1.59 1.24|2.0   0   0|   0     0 |pip                  19985 11%2084k2044k|pip                  199852084k2044k 11%|mysqld       414M|   0     0 |  27  253    0   88    0
Jun 30 08:38:04 ubuntu dstat.sh[20946]: 30-06 08:38:04| 10   1  88   1   0|4075M  220M  157M 3396M|  11k 3853B|  72k  600k|2.00  20.0 |1354  2093 |1.62 1.59 1.24|4.0   0   0|   0     0 |pip                  199855.0% 346k 424k|pip                  19985 346k 424k5.0%|mysqld       414M|   0     0 |  27  253    0   88    0
Jun 30 08:38:05 ubuntu dstat.sh[20946]: 30-06 08:38:05| 13   3  83   1   0|4075M  218M  157M 3398M|  23k 3865B| 180k  864k|1.00  31.0 |2098  3442 |1.62 1.59 1.24|3.0   0   0|   0     0 |pip                  199856.8%1125k1576k|pip                  199851125k1576k6.8%|mysqld       414M|   0     0 |  27  253    0   88    0
Jun 30 08:38:06 ubuntu dstat.sh[20946]: 30-06 08:38:06| 12   2  85   1   0|4076M  216M  157M 3400M|  12k 3180B| 240k  472k|3.00  12.0 |1692  2742 |1.57 1.58 1.24|6.0   0   0|   0     0 |pip                  199855.5% 796k1127k|pip                  19985 796k1127k5.5%|mysqld       414M|   0     0 |  27  253    0   86    0
Jun 30 08:38:07 ubuntu dstat.sh[20946]: 30-06 08:38:07|  7   2  88   3   0|4076M  216M  157M 3400M|  11k 3805B|   0  6368k|   0   494 |2279  2174 |1.57 1.58 1.24|9.0   0   0|   0     0 |pip                  199853.5% 246k 248k|pip                  19985 246k 248k3.5%|mysqld       414M|   0     0 |  27  253    0   86    0
Jun 30 08:38:08 ubuntu dstat.sh[20946]: 30-06 08:38:08| 15   1  83   1   0|4077M  213M  157M 3401M|  11k 3121B|   0   548k|   0  32.0 |1469  2306 |1.57 1.58 1.24|6.0   0   0|   0     0 |pip                  19985 11% 249k 408k|pip                  19985 249k 408k 11%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:09 ubuntu dstat.sh[20946]: 30-06 08:38:09| 14   3  83   1   0|4077M  198M  157M 3416M|  20k 3004B|   0   752k|   0  28.0 |1608  2612 |1.57 1.58 1.24|6.0   0   0|   0     0 |pip                  19985 11%  19M  15M|pip                  19985  19M  15M 11%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:10 ubuntu dstat.sh[20946]: 30-06 08:38:10| 14   4  82   1   0|4077M  177M  157M 3437M|  10k 3117B|   0   620k|   0  17.0 |1619  2627 |1.57 1.58 1.24|5.0   0   0|   0     0 |pip                  19985 11%6431k  19M|pip                  199856431k  19M 11%|mysqld       414M|   0     0 |  27  253    0   78    0
Jun 30 08:38:11 ubuntu dstat.sh[20946]: 30-06 08:38:11| 10   1  88   1   0|4077M  176M  157M 3438M|  11k 3793B|   0   580k|   0  30.0 |1546  2642 |1.52 1.57 1.24|2.0   0   0|   0     0 |pip                  199855.5% 894k1146k|pip                  19985 894k1146k5.5%|mysqld       414M|   0     0 |  27  253    0   78    0
Jun 30 08:38:12 ubuntu dstat.sh[20946]: 30-06 08:38:12| 13   2  84   1   0|4080M  170M  157M 3442M|  12k 3224B|4096B  816k|1.00  27.0 |1611  2436 |1.52 1.57 1.24|4.0   0 2.0|   0     0 |pip                  199859.8%2792k3749k|pip                  199852792k3749k9.8%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:13 ubuntu dstat.sh[20946]: 30-06 08:38:13| 14   1  85   1   0|4093M  146M  157M 3452M|9180B 3099B|8192B  288k|1.00  7.00 |1418  2360 |1.52 1.57 1.24|2.0 1.0   0|   0     0 |pip                  19985 11%7941k  10M|pip                  199857941k  10M 11%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:14 ubuntu dstat.sh[20946]: 30-06 08:38:14|  9   1  89   2   0|4093M  143M  157M 3454M|  10k 3854B| 340k  588k|3.00  20.0 |1460  2219 |1.52 1.57 1.24|2.0   0   0|   0     0 |pip                  199854.5%1080k1254k|pip                  199851080k1254k4.5%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:15 ubuntu dstat.sh[20946]: 30-06 08:38:15|  7   3  89   1   0|4094M  141M  158M 3456M|  17k 3817B|  24k  940k|2.00  31.0 |1525  2381 |1.52 1.57 1.24|1.0   0   0|   0     0 |pip                  199853.5% 575k1587k|pip                  19985 575k1587k3.5%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:16 ubuntu dstat.sh[20946]: 30-06 08:38:16|  7   1  91   1   0|4094M  141M  158M 3457M|8618B 3854B|  24k  392k|1.00  12.0 |1335  2258 |1.40 1.55 1.23|1.0   0   0|   0     0 |pip                  199853.5% 260k 164k|pip                  19985 260k 164k3.5%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:17 ubuntu dstat.sh[20946]: 30-06 08:38:17| 20   2  77   1   0|4096M  136M  158M 3459M|  11k 2380B|   0   728k|   0  66.0 |1570  2171 |1.40 1.55 1.23|2.0   0   0|   0     0 |pip                  19985 17%2138k2406k|pip                  199852138k2406k 17%|mysqld       414M|   0     0 |  27  253    0   78    0
Jun 30 08:38:18 ubuntu dstat.sh[20946]: 30-06 08:38:18| 23  10  66   1   0|4097M  133M  158M 3462M|9059B 1512B|4096B  109M|1.00   848 |2994  2348 |1.40 1.55 1.23|3.0 1.0   0|   0     0 |pip                  19985 25%  11M  28M|pip                  19985  11M  28M 25%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:19 ubuntu dstat.sh[20946]: 30-06 08:38:19| 22   8  69   1   0|4096M  137M  158M 3459M|6189B 1620B|   0    11M|   0   119 |1840  2292 |1.40 1.55 1.23|4.0   0   0|   0     0 |pip                  19985 25%  42M  46M|pip                  19985  42M  46M 25%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:20 ubuntu dstat.sh[20946]: 30-06 08:38:20| 22   8  70   0   0|4097M  134M  160M 3461M|  10k 1620B|   0   376k|   0  18.0 |1540  2279 |1.40 1.55 1.23|7.0   0   0|   0     0 |pip                  19985 25%  22M  29M|pip                  19985  22M  29M 25%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:21 ubuntu dstat.sh[20946]: 30-06 08:38:21| 23   7  70   1   0|4097M  132M  161M 3462M|9617B 1620B|   0  2148k|   0  40.0 |1585  2218 |1.37 1.54 1.23|7.0   0   0|   0     0 |pip                  19985 25%  22M  30M|pip                  19985  22M  30M 25%|mysqld       414M|   0     0 |  27  253    0   77    0
Jun 30 08:38:22 ubuntu dstat.sh[20946]: 30-06 08:38:22| 22   8  67   2   0|4073M  238M  161M 3381M|9367B 1968B| 316k 2140k|6.00  31.0 |1932  2302 |1.37 1.54 1.23|3.0   0 6.0|   0     0 |pip                  200009.2%5179k   0 |tox                  19943 166M 214M1.0%|mysqld       414M|   0     0 |  27  252    0   77    0
Jun 30 08:38:23 ubuntu dstat.sh[20946]: 30-06 08:38:23| 25   7  67   0   0|4086M  223M  161M 3382M|  20k 1620B|  64k   24k|2.00  6.00 |7783    16k|1.37 1.54 1.23|2.0   0  17|   0     0 |python               20006 20%4539k1689k|python               200064539k1689k 20%|mysqld       414M|   0     0 |  27  252    0   77    0
Jun 30 08:38:24 ubuntu dstat.sh[20946]: 30-06 08:38:24| 25   5  70   0   0|4085M  224M  161M 3382M|  12k 1620B|   0  1556k|   0  12.0 |2145  3400 |1.37 1.54 1.23|6.0   0 7.0|   0     0 |pip                  200009.5%5275k1771k|pip                  200005275k1771k9.5%|mysqld       414M|   0     0 |  27  252    0   69    0
Jun 30 08:38:25 ubuntu dstat.sh[20946]: 30-06 08:38:25| 24   6  68   1   0|4050M  260M  161M 3382M|  14k 1620B| 116k  420k|29.0  25.0 |5018    12k|1.37 1.54 1.23|4.0   0 8.0|   0     0 |python               200342.8%1783k 445B|tox                  19943  16M2737k  0%|mysqld       414M|   0     0 |  27  252    0   70    0
Jun 30 08:38:26 ubuntu dstat.sh[20946]: 30-06 08:38:26| 22   7  71   0   0|4044M  266M  161M 3382M|  10k 7394B|   0   328k|   0  11.0 |2534  4022 |1.34 1.53 1.23|3.0   0 126|   0     0 |tox                  20125 11%8061k 258B|bash                 22918 200M 225M0.8%|mysqld       414M|   0     0 |  27  252    0   70    0
Jun 30 08:38:27 ubuntu dstat.sh[20946]: 30-06 08:38:27| 26   7  67   0   0|4060M  250M  161M 3382M|  11k 1566B|   0   144k|   0  10.0 |5077    12k|1.34 1.53 1.23|1.0   0  12|   0     0 |python               201696.2%3691k 108B|tox                  201255317k 801k0.5%|mysqld       414M|   0     0 |  27  252    0   65    0
Jun 30 08:38:28 ubuntu dstat.sh[20946]: 30-06 08:38:28| 27   4  70   0   0|4067M  242M  161M 3382M|  13k 4726B|   0   256k|   0  10.0 |1782  3114 |1.34 1.53 1.23|3.0   0 6.0|   0     0 |pip                  20173 21%6817k  16k|pip                  201736817k  16k 21%|mysqld       414M|   0     0 |  27  252    0   65    0
Jun 30 08:38:29 ubuntu dstat.sh[20946]: 30-06 08:38:29| 29   2  69   0   0|4069M  240M  161M 3382M|  12k   45k|   0   456k|   0  22.0 |1956  3638 |1.34 1.53 1.23|5.0   0   0|   0     0 |python3.7            275341.2%  28k  64k|tox                  201257567k  45k0.5%|mysqld       414M|   0     0 |  27  252    0   52    0
Jun 30 08:38:30 ubuntu dstat.sh[20946]: 30-06 08:38:30| 22   9  69   0   0|4051M  258M  161M 3382M|8940B   20k|   0    80k|   0  5.00 |2422  4345 |1.34 1.53 1.23|5.0   0 153|   0     0 |tox                  20324 12%3322k 440B|bash                 22918  24M 858k0.8%|mysqld       414M|   0     0 |  27  252    0   52    0
Jun 30 08:38:31 ubuntu dstat.sh[20946]: 30-06 08:38:31| 24   7  69   1   0|4068M  231M  161M 3392M|7914B 1970B|   0  1168k|   0  23.0 |5570    11k|1.39 1.54 1.23|7.0   0 9.0|   0     0 |pip                  20366 18%5533k2184k|tox                  20324  11M8202k  0%|mysqld       414M|   0     0 |  27  252    0   45    0
Jun 30 08:38:32 ubuntu dstat.sh[20946]: 30-06 08:38:32| 30   5  65   0   0|4077M  221M  161M 3393M|7283B 1620B|9728k  556k|76.0  12.0 |1902  2775 |1.39 1.54 1.23|5.0   0 9.0|   0     0 |pip                  20366 22%1753k  81k|swift-object-au      203689768k  37k1.5%|mysqld       414M|   0     0 |  27  252    0   45    0
Jun 30 08:38:33 ubuntu dstat.sh[20946]: 30-06 08:38:33| 13   2  85   0   0|4070M  229M  161M 3392M|  11k 1925B|6228k   56k|49.0  8.00 |1500  2355 |1.39 1.54 1.23|1.0   0   0|   0     0 |pip                  203667.5%  36k9065B|swift-object-au      24345  16M  38k  0%|mysqld       414M|   0     0 |  27  253    0   37    0
Jun 30 08:38:34 ubuntu dstat.sh[20946]: 30-06 08:38:34|  5   1  94   0   0|4071M  228M  161M 3392M|  14k 3106B|   0   196k|   0  13.0 |1279  2074 |1.39 1.54 1.23|5.0 1.0   0|   0     0 |pip                  203661.0% 350k  58k|pip                  20366 350k  58k1.0%|mysqld       414M|   0     0 |  27  253    0   37    0
Jun 30 08:38:35 ubuntu dstat.sh[20946]: 30-06 08:38:35|  8   2  90   1   0|4073M  225M  161M 3394M|  34k 3182B|   0   420k|   0  18.0 |1392  2256 |1.39 1.54 1.23|2.0   0   0|   0     0 |pip                  203664.5% 455k1304k|pip                  20366 455k1304k4.5%|mysqld       414M|   0     0 |  27  253    0   30    0
Jun 30 08:38:36 ubuntu dstat.sh[20946]: 30-06 08:38:36|  9   1  89   0   0|4073M  225M  161M 3394M|  24k 2149B|   0   140k|   0  6.00 |1420  2333 |1.36 1.53 1.23|3.0   0   0|   0     0 |pip                  203665.0%  14k  37k|python2              20993  57k 449B0.2%|mysqld       414M|   0     0 |  27  254    0   30    0
Jun 30 08:38:37 ubuntu dstat.sh[20946]: 30-06 08:38:37|  5   1  94   0   0|4074M  224M  161M 3394M|  19k 3099B|   0    60k|   0  3.00 |1257  2173 |1.36 1.53 1.23|4.0   0   0|   0     0 |pip                  203660.5% 278k1257B|pip                  20366 278k1257B0.5%|mysqld       414M|   0     0 |  27  254    0   22    0
Jun 30 08:38:38 ubuntu dstat.sh[20946]: 30-06 08:38:38|  4   1  95   0   0|4074M  224M  161M 3394M|  57k 2226B|   0   120k|   0  9.00 |1288  2275 |1.36 1.53 1.23|1.0   0   0|   0     0 |nova-scheduler       802  0.5%   0    0 |pip                  20366  43k  40k  0%|mysqld       414M|   0     0 |  27  254    0   22    0
Jun 30 08:38:39 ubuntu dstat.sh[20946]: 30-06 08:38:39|  5   2  93   0   0|4074M  224M  161M 3394M| 221k 4842B|   0   395k|   0  29.0 |1544  2340 |1.36 1.53 1.23|3.0   0   0|   0     0 |nova-conductor       4460 0.5%   0    0 |pip                  20366 201k 190k0.5%|mysqld       414M|   0     0 |  27  254    0   13    0
Jun 30 08:38:40 ubuntu dstat.sh[20946]: 30-06 08:38:40|  6   1  93   0   0|4074M  223M  161M 3394M| 528k 7494B|   0    88k|   0  11.0 |1571  2257 |1.36 1.53 1.23|3.0   0   0|   0     0 |cinder-volume        9399 0.8%   0    0 |pip                  20366 499k 500k0.8%|mysqld       414M|   0     0 |  27  254    0   13    0
Jun 30 08:38:41 ubuntu dstat.sh[20946]: 30-06 08:38:41|  5   1  94   0   0|4076M  220M  161M 3395M| 882k   31k|   0   308k|   0  13.0 |1625  2341 |1.33 1.52 1.23|1.0   0   0|   0     0 |pip                  203661.2% 840k 830k|pip                  20366 840k 830k1.2%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:38:42 ubuntu dstat.sh[20946]: 30-06 08:38:42|  6   2  92   0   0|4077M  218M  161M 3396M|1002k   11k|   0    72k|   0  9.00 |1905  2262 |1.33 1.52 1.23|4.0   0 2.0|   0     0 |pip                  203661.2% 956k 960k|pip                  20366 956k 960k1.2%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:38:43 ubuntu dstat.sh[20946]: 30-06 08:38:43| 11   3  85   0   0|4075M  206M  161M 3411M| 266k 4170B|   0  3824k|   0  9.00 |1479  2270 |1.33 1.52 1.23|3.0   0   0|   0     0 |pip                  203669.2%5876k  13M|pip                  203665876k  13M9.2%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:44 ubuntu dstat.sh[20946]: 30-06 08:38:44| 25   8  66   0   0|4081M  199M  161M 3411M|  28k 3581B|   0   476k|   0  12.0 |1874  2590 |1.33 1.52 1.23|4.0   0  14|   0     0 |pip                  203665.5% 393k 442k|cinder-volume        9399 8977k5693B1.0%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:45 ubuntu dstat.sh[20946]: 30-06 08:38:45| 15   3  81   1   0|4077M  203M  161M 3412M|  26k 4058B|   0   624k|   0  24.0 |1569  2417 |1.33 1.52 1.23|1.0   0 2.0|   0     0 |pip                  203663.5% 271k 365k|cinder-volume        9399 2992k1356B0.2%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:46 ubuntu dstat.sh[20946]: 30-06 08:38:46|  9   1  89   1   0|4078M  198M  161M 3415M| 564k 5827B|   0   660k|   0  7.00 |1603  2180 |1.30 1.51 1.23|2.0   0   0|   0     0 |pip                  203664.5%1649k2922k|pip                  203661649k2922k4.5%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:47 ubuntu dstat.sh[20946]: 30-06 08:38:47|  7   2  90   1   0|4078M  198M  161M 3415M|  17k 3898B|   0   672k|   0  22.0 |1431  2276 |1.30 1.51 1.23|1.0   0   0|   0     0 |pip                  203662.5% 263k 277k|pip                  20366 263k 277k2.5%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:38:48 ubuntu dstat.sh[20946]: 30-06 08:38:48| 11   2  87   1   0|4077M  191M  161M 3424M|  11k 3136B|   0   468k|   0  15.0 |1450  2149 |1.30 1.51 1.23|2.0   0   0|   0     0 |pip                  203667.2%5017k8738k|pip                  203665017k8738k7.2%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:38:49 ubuntu dstat.sh[20946]: 30-06 08:38:49|  5   4  88   3   0|4078M  189M  161M 3425M| 567k 6449B|   0    47M|   0   782 |3044  2272 |1.30 1.51 1.23|4.0   0   0|   0     0 |pip                  203662.2% 520k 511k|pip                  20366 520k 511k2.2%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:50 ubuntu dstat.sh[20946]: 30-06 08:38:50|  9   2  89   1   0|4080M  182M  161M 3429M| 550k 6545B|   0  1804k|   0  22.0 |1714  2216 |1.30 1.51 1.23|3.0   0   0|   0     0 |pip                  203665.8%2828k3949k|pip                  203662828k3949k5.8%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:51 ubuntu dstat.sh[20946]: 30-06 08:38:51| 11   2  86   1   0|4080M  180M  161M 3430M|  11k 3235B|4096B 3660k|1.00  59.0 |1556  2523 |1.28 1.50 1.23|1.0   0   0|   0     0 |pip                  203667.2% 878k1257k|pip                  20366 878k1257k7.2%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:52 ubuntu dstat.sh[20946]: 30-06 08:38:52| 11   2  87   1   0|4081M  179M  161M 3431M|  10k 3754B|  12k  476k|1.00  14.0 |1516  2034 |1.28 1.50 1.23|1.0   0 2.0|   0     0 |pip                  203666.5% 469k 570k|pip                  20366 469k 570k6.5%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:53 ubuntu dstat.sh[20946]: 30-06 08:38:53|  9   2  89   0   0|4081M  177M  162M 3433M|  12k 3859B|  40k  476k|1.00  9.00 |1385  2213 |1.28 1.50 1.23|1.0   0   0|   0     0 |pip                  203666.2%1183k1522k|pip                  203661183k1522k6.2%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:54 ubuntu dstat.sh[20946]: 30-06 08:38:54|  8   1  90   1   0|4081M  177M  162M 3433M|  10k 3864B|   0   492k|   0  15.0 |1446  2089 |1.28 1.50 1.23|2.0   0   0|   0     0 |pip                  203664.5% 317k 519k|pip                  20366 317k 519k4.5%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:55 ubuntu dstat.sh[20946]: 30-06 08:38:55|  8   4  88   1   0|4081M  176M  162M 3434M|  14k 3768B|   0    39M|   0   306 |1705  2261 |1.28 1.50 1.23|2.0   0   0|   0     0 |pip                  203663.8% 856k 984k|pip                  20366 856k 984k3.8%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:56 ubuntu dstat.sh[20946]: 30-06 08:38:56| 15   2  82   1   0|4081M  172M  162M 3438M|9423B 3065B|   0   380k|   0  9.00 |1414  2316 |1.18 1.47 1.22|1.0   0   0|   0     0 |pip                  20366 11%2044k2024k|pip                  203662044k2024k 11%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:57 ubuntu dstat.sh[20946]: 30-06 08:38:57|  9   1  89   1   0|4082M  170M  162M 3439M|  99k 5342B|   0   736k|   0  12.0 |1443  2237 |1.18 1.47 1.22|2.0   0   0|   0     0 |pip                  203664.8% 448k 637k|pip                  20366 448k 637k4.8%|mysqld       414M|   0     0 |  27  254    0    6    0
Jun 30 08:38:58 ubuntu dstat.sh[20946]: 30-06 08:38:58|  8   3  88   1   0|4082M  169M  162M 3439M|  16k 3825B|   0   675k|   0  32.0 |1525  2285 |1.18 1.47 1.22|4.0   0 1.0|   0     0 |pip                  203662.8% 157k 191k|pip                  20366 157k 191k2.8%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:38:59 ubuntu dstat.sh[20946]: 30-06 08:38:59|  6   2  91   1   0|4082M  167M  163M 3441M| 238k 6290B|   0  1396k|   0  32.0 |1544  2262 |1.18 1.47 1.22|2.0   0   0|   0     0 |pip                  203663.2% 684k1429k|pip                  20366 684k1429k3.2%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:39:00 ubuntu dstat.sh[20946]: 30-06 08:39:00|  6   2  92   1   0|4082M  166M  163M 3441M| 103k 7580B|   0   356k|   0  11.0 |1376  2233 |1.18 1.47 1.22|1.0   0   0|   0     0 |pip                  203662.0% 276k 286k|pip                  20366 276k 286k2.0%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:39:01 ubuntu dstat.sh[20946]: 30-06 08:39:01|  6   2  92   1   0|4082M  165M  164M 3442M| 118k 5440B|   0  1700k|   0  32.0 |1509  2356 |1.40 1.52 1.23|  0   0   0|   0     0 |pip                  203663.0% 337k 355k|pip                  20366 337k 355k3.0%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:39:02 ubuntu dstat.sh[20946]: 30-06 08:39:02|  8   2  89   0   0|4081M  165M  164M 3443M| 119k 5934B|   0   956k|   0  22.0 |1719  2260 |1.40 1.52 1.23|9.0   0 2.0|   0     0 |pip                  203663.2% 298k 327k|pip                  20366 298k 327k3.2%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:39:03 ubuntu dstat.sh[20946]: 30-06 08:39:03|  5   2  93   0   0|4081M  164M  165M 3443M| 119k 5282B|   0   884k|   0  11.0 |1333  2089 |1.40 1.52 1.23|1.0   0   0|   0     0 |pip                  203662.5% 327k 325k|pip                  20366 327k 325k2.5%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:39:04 ubuntu dstat.sh[20946]: 30-06 08:39:04| 11   2  87   1   0|4081M  162M  165M 3444M|  12k 3182B|   0   512k|   0  12.0 |1311  2037 |1.40 1.52 1.23|8.0   0   0|   0     0 |pip                  203667.5%1053k1379k|pip                  203661053k1379k7.5%|mysqld       414M|   0     0 |  27  254    0    7    0
Jun 30 08:39:05 ubuntu dstat.sh[20946]: 30-06 08:39:05| 12   4  84   1   0|4081M  161M  165M 3446M|  13k 3743B|   0    14M|   0   204 |2362  3570 |1.40 1.52 1.23|7.0   0   0|   0     0 |pip                  203665.2% 469k 820k|pip                  20366 469k 820k5.2%|mysqld       414M|   0     0 |  27  254    0    8    0
